DateTime,Temperature,Cload_Cover,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun,Predicted Electricity Generated
7/28/2018 16:00,18.733,0,423,71,90,56,127.3,19.2,30711.70117
7/28/2018 17:00,9.096008,0,224,50,43,43,118.1,8.3,5136.563965
7/28/2018 18:00,9.096008,0,42,17,15,15,110.1,0,4943.783691
7/29/2018 8:00,16.72101,8,42,16,11,11,117.6,8.4,20302.0957
7/29/2018 9:00,16.72101,8,225,49,55,37,127.2,19.3,43747.5
7/29/2018 10:00,16.72101,8,425,69,150,54,138.6,28.8,57074.34766
7/29/2018 11:00,20.97601,8,585,80,239,71,153.3,36,62826.53125
7/29/2018 12:00,20.97601,8,687,85,291,76,170.4,40,64462.89453
7/29/2018 13:00,20.97601,8,723,86,305,78,170.4,40,63006.20313
7/29/2018 14:00,19.629,8,689,85,277,77,153.2,36,61131.00781
7/29/2018 15:00,19.629,8,588,80,207,72,138.6,28.8,47494.21094
7/29/2018 16:00,19.629,8,428,69,98,60,127.2,19.3,29512.77148
7/29/2018 17:00,10.02301,8,228,49,42,42,117.5,8.4,3858.122314
7/29/2018 18:00,10.02301,8,44,17,15,15,110,0,3717.950195
